digit-count, rune-count, dict-words-count, slash-count, colon-count, dash-count, dot-count, class
5, 14, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
5, 14, 0, 3, 0, 0, 0, url
5, 14, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 46, 4, 1, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 69, 4, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 14, 1, 0, 0, 0, 1, date-component-day-month-year
0, 45, 2, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 14, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 0, 1, 0, 0, 0, 0, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 32, 2, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 14, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 32, 2, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
0, 22, 1, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 14, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
5, 14, 0, 3, 0, 0, 0, url
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 33, 1, 0, 0, 0, 0, title
0, 24, 2, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
5, 14, 0, 3, 0, 0, 0, url
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 73, 4, 2, 0, 0, 1, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
2, 76, 2, 1, 0, 0, 0, title
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 76, 2, 1, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 55, 4, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
0, 54, 5, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 68, 0, 3, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
0, 52, 1, 0, 0, 1, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 45, 6, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 0, 1, 0, 0, 0, 0, date-component-day-month-year
0, 41, 3, 2, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 113, 5, 0, 0, 0, 1, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 36, 3, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
0, 61, 1, 2, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 8, 0, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 52, 6, 0, 0, 0, 1, title
5, 14, 0, 3, 0, 0, 0, url
6, 15, 1, 0, 0, 0, 1, date-component-day-month-year
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
0, 29, 1, 1, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 46, 6, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
0, 20, 1, 1, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 76, 0, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 65, 6, 0, 0, 1, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 1, 0, 0, 0, 1, date-component-day-month-year
0, 0, 1, 0, 0, 0, 0, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 75, 3, 0, 0, 1, 2, title
5, 14, 0, 3, 0, 0, 0, url
0, 45, 1, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 68, 2, 7, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 70, 4, 4, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 16, 1, 0, 0, 0, 1, date-component-day-month-year
0, 93, 4, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 60, 2, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
6, 16, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 53, 1, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
0, 29, 1, 1, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 37, 1, 2, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 37, 1, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 75, 8, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
6, 16, 0, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 36, 3, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
5, 15, 1, 0, 0, 0, 1, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 36, 3, 0, 0, 0, 0, title
5, 14, 0, 3, 0, 0, 0, url
0, 0, 1, 0, 0, 0, 0, date-component-day-month-year
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 85, 7, 1, 0, 0, 0, title
